Kuh ID;Anzahl Event 1;Anzahl Event 2;Anzahl Event 3;Anzahl Event 4;Anzahl Event 5;Anzahl Event 6
514;0;3;1;0;1;0
3588;1;1;0;4;7;0
5;0;1;1;0;0;0
2566;1;1;0;0;0;0
3591;1;0;0;0;0;0
2571;1;0;0;0;0;0
2572;0;2;3;2;0;0
2574;0;0;2;0;0;0
527;1;0;0;1;0;0
2576;1;6;1;1;0;0
2577;0;3;0;0;0;0
2578;1;2;0;0;0;0
2579;0;1;0;0;0;0
1045;1;2;0;0;0;0
2584;0;1;0;0;0;0
2585;0;0;2;2;1;0
2588;0;4;2;2;0;0
2589;0;1;0;0;0;0
2590;0;1;1;1;0;0
2592;0;1;0;0;1;0
2594;0;0;1;1;0;0
2595;1;0;1;0;0;0
3620;1;0;1;2;1;0
3621;1;0;1;1;0;0
2600;0;0;1;0;0;0
9769;0;2;0;1;0;0
2603;0;2;0;0;0;0
9774;1;3;10;12;0;0
3632;1;0;0;1;0;0
3635;1;0;0;1;2;0
565;1;2;0;1;0;0
9783;0;1;0;0;0;0
2617;0;1;0;1;0;0
570;0;1;0;0;0;0
2619;0;0;3;1;0;0
2621;1;0;0;2;2;0
2625;1;1;2;1;0;0
9795;1;1;0;0;0;0
1092;1;8;0;0;0;0
1093;1;0;0;1;0;0
2630;1;2;0;0;2;0
2631;0;2;0;1;0;0
2633;1;0;0;0;0;0
1099;1;1;0;0;0;0
2636;1;0;0;1;0;0
3661;1;0;2;1;1;0
2639;1;0;1;1;0;0
1104;0;1;0;0;0;0
2641;1;5;0;4;2;0
2642;0;0;0;1;0;0
83;1;0;2;1;0;0
2644;0;3;0;1;0;0
2645;0;1;1;0;0;0
2648;0;0;1;1;0;0
868;0;0;0;1;0;0
2650;1;0;0;0;0;0
2575;0;1;0;0;0;0
2656;0;0;0;1;0;0
97;1;0;1;0;0;0
2658;1;0;1;3;0;0
3685;1;0;1;4;0;0
9745;1;0;0;0;0;0
1641;1;0;0;0;0;0
618;1;1;0;0;0;0
108;0;5;0;1;0;0
622;1;0;0;0;0;0
1138;1;2;1;1;0;0
3701;1;7;3;0;0;0
9847;0;0;1;2;0;0
1145;0;2;3;0;1;0
9853;0;1;0;1;0;0
2581;1;0;0;0;0;0
1302;1;1;0;0;0;0
1164;1;0;1;0;0;0
141;1;4;0;0;1;0
9870;1;0;0;0;0;0
1897;1;0;1;0;0;0
1168;1;6;0;0;0;0
2545;1;2;0;0;0;0
1175;1;3;1;1;0;0
2712;1;0;0;5;0;0
668;1;1;2;1;0;0
1181;1;0;0;1;0;0
1183;1;2;4;1;0;0
9896;0;0;2;2;0;0
5794;1;1;3;0;0;0
1188;1;3;0;0;0;0
9381;1;0;0;0;0;0
8872;1;4;0;0;0;0
1052;1;1;0;0;0;0
1195;1;0;0;0;0;0
1196;1;0;1;1;0;0
1366;1;3;5;1;0;0
2737;1;0;1;7;0;0
181;1;0;0;1;0;0
1796;1;0;0;0;0;0
3768;1;2;0;0;0;0
2747;1;1;2;9;0;0
194;1;2;1;2;0;0
1221;1;0;0;0;0;0
1223;1;4;0;0;0;0
8311;0;1;7;17;0;0
1882;0;3;1;0;1;0
1231;1;0;3;2;0;0
1237;0;1;1;0;0;0
9337;1;0;0;0;0;0
2596;1;0;0;0;0;0
8935;0;2;1;2;0;0
1259;1;4;0;15;0;0
9879;0;3;0;1;1;0
1261;1;0;1;0;0;0
9256;1;0;0;1;0;0
2601;1;1;1;0;0;0
1279;1;4;3;0;0;0
1792;0;2;0;0;0;0
1284;1;1;5;5;0;0
1800;1;0;0;0;0;0
1803;1;0;8;1;0;0
274;0;3;0;2;0;0
278;0;2;0;0;0;0
1304;1;0;1;0;0;0
1821;0;2;0;0;0;0
2728;1;0;2;10;0;0
1317;1;0;0;8;0;0
1320;1;1;0;0;0;0
9519;1;0;0;0;0;0
2611;0;6;1;0;0;0
1336;0;2;0;0;0;0
1337;1;1;0;0;0;0
1851;1;1;2;0;0;0
1854;0;3;0;0;0;0
3909;1;0;3;1;2;0
3912;1;1;1;0;1;0
6988;1;0;0;0;0;0
11;1;0;0;0;0;0
1875;1;0;1;0;0;0
1934;1;0;0;0;0;0
9046;1;0;0;1;0;0
858;1;1;0;0;0;0
1883;0;1;0;0;0;0
9564;0;1;1;2;0;0
1885;0;0;1;4;3;0
3940;1;1;5;1;0;0
3944;1;1;1;2;0;0
9065;1;1;2;0;0;0
1899;1;2;6;1;0;0
366;0;1;2;2;0;0
1903;1;0;0;0;0;0
369;1;1;2;1;0;0
1908;0;4;0;0;0;0
1911;1;1;1;0;0;0
9081;0;2;0;0;0;0
1915;1;0;5;1;0;0
1920;1;0;0;0;0;0
7553;0;0;0;1;0;0
1925;0;0;1;0;0;0
1931;0;2;0;2;0;0
398;1;1;1;0;0;0
1935;1;2;0;0;0;0
921;0;1;0;2;0;0
3994;1;1;1;0;0;0
3483;0;1;2;2;0;0
1951;1;1;0;1;0;0
1955;1;1;1;0;1;0
3493;0;1;0;0;0;0
9639;1;0;0;0;0;0
430;1;1;0;0;0;0
3509;0;2;0;0;0;0
8635;1;0;0;0;0;0
446;1;0;3;5;0;0
1985;1;0;3;12;0;0
1986;1;0;0;5;0;0
2635;0;0;0;2;0;0
976;0;2;2;1;2;0
2019;1;0;0;0;0;0
2532;0;1;0;0;0;0
490;1;1;0;0;0;0
3569;1;0;0;0;0;0
3578;1;1;0;0;0;0
2558;1;0;2;0;0;0
