Kuh ID;Event Score;Eventzeitpunkt
514;2;2017-10-05 15:00:00
5;2;2017-10-03 17:00:00
2572;2;2017-10-08 22:00:00
2574;3;2017-10-02 17:00:00
2577;2;2017-10-07 17:00:00
2579;2;2017-10-02 17:00:00
2584;2;2017-10-16 02:05:00
2585;4;2017-10-18 09:05:00
2588;2;2017-10-13 12:33:00
2589;2;2017-10-16 14:19:00
2590;4;2017-10-11 00:07:00
2592;2;2017-10-08 10:00:00
2594;3;2017-10-18 19:16:00
2600;3;2017-10-22 12:12:00
9769;2;2017-11-01 23:10:00
2603;2;2017-10-19 18:10:00
9783;2;2017-09-29 17:00:00
2617;4;2017-10-22 02:08:00
570;2;2017-11-06 12:00:00
2619;4;2017-10-21 05:05:00
2631;4;2017-10-27 00:02:00
1104;2;2017-10-15 11:10:00
2642;4;2017-11-05 10:03:00
2644;2;2017-10-30 22:02:00
2645;3;2017-11-11 11:04:00
2648;4;2017-10-25 10:02:00
868;4;2017-10-13 10:17:00
2575;2;2017-10-05 09:00:00
2656;4;2017-11-10 05:07:00
108;4;2017-10-09 05:30:00
1145;5;2017-10-05 05:00:00
9853;4;2017-10-15 12:21:00
278;2;2017-10-17 12:15:00
9879;4;2017-10-20 20:20:00
9847;4;2017-10-08 18:08:00
1237;2;2017-10-14 11:05:00
8935;4;2017-11-11 02:10:00
8311;4;2017-12-19 12:06:00
1792;2;2017-09-29 20:30:00
274;2;2017-10-11 10:00:00
1821;2;2017-10-01 19:00:00
2611;2;2017-10-23 09:07:00
1336;2;2017-11-11 07:11:00
1854;2;2017-09-30 09:50:00
1931;2;2017-11-05 20:30:00
1882;2;2017-10-07 15:12:00
1883;2;2017-09-30 19:00:00
9564;4;2017-11-06 13:11:00
1885;4;2017-11-02 07:30:00
366;4;2017-10-17 07:09:00
1908;2;2017-12-19 23:30:00
9081;2;2017-10-24 12:45:00
7553;4;2017-11-03 03:38:00
1925;3;2017-11-05 17:15:00
921;4;2017-10-05 15:22:00
3483;3;2017-11-09 00:20:00
3493;2;2017-10-07 15:14:00
3509;2;2017-10-16 12:30:00
2635;4;2017-11-01 22:00:00
976;2;2017-10-26 20:05:00
2532;2;2017-10-02 22:00:00
9896;3;2017-12-21 10:11:00
