Zeitraum VP;Sensitivitaet HA1h+HA2h;1 - Spezifitaet HA1h+HA2h;Sensitivitaet HA1h;1 - Spezifitaet HA1h;Sensitivitaet HA2h;1 - Spezifitaet HA2h
;0;0;0;0;0;0
1h;0.0;0.0;0.0;0.0;0.0;0.0
2h;0.37;0.06000000000000005;0.19;0.040000000000000036;0.19;0.020000000000000018
3h;0.61;0.07999999999999996;0.43;0.06999999999999995;0.39;0.030000000000000027
4h;0.67;0.10999999999999999;0.62;0.08999999999999997;0.45;0.040000000000000036
5h;0.69;0.12;0.66;0.10999999999999999;0.47;0.06000000000000005
6h;0.69;0.15000000000000002;0.69;0.13;0.48;0.06000000000000005
7h;0.69;0.17000000000000004;0.69;0.15000000000000002;0.48;0.06999999999999995
8h;0.69;0.18999999999999995;0.69;0.17000000000000004;0.48;0.07999999999999996
9h;0.69;0.19999999999999996;0.69;0.19999999999999996;0.48;0.08999999999999997
10h;0.69;0.21999999999999997;0.69;0.20999999999999996;0.48;0.10999999999999999
11h;0.7;0.24;0.69;0.21999999999999997;0.48;0.10999999999999999
12h;0.7;0.25;0.69;0.24;0.49;0.13
13h;0.71;0.27;0.69;0.26;0.5;0.13
14h;0.71;0.27;0.7;0.26;0.5;0.13
15h;0.72;0.28;0.7;0.28;0.52;0.13
16h;0.72;0.29000000000000004;0.71;0.28;0.52;0.13
24h;0.72;0.31000000000000005;0.71;0.30000000000000004;0.52;0.15000000000000002
;1;1;1;1;1;1
