Event Score;Anzahl zuvor;Anzahl danach;Anzahl pro Stunde;Anzahl pro Stunde
1;79;39;0,013327297623298588;0,020737510966952914
2;168;38;0,028341594945748897;0,020205779916518223
3;102;57;0,017207396931347544;0,030308669874777337
4;80;130;0,01349599759321376;0,06912503655650971
5;31;2;0,005229699067370332;0,0010634621008693802
6;0;0;0,0;0,0
7;0;0;0,0;0,0
8;0;0;0,0;0,0
9;6;5;0,001012199819491032;0,0026586552521734507

Tragezeitraum vor Wechsel [h]:;5927,683333333334
Tragezeitraum nach Wechsel [h]:;1880,65
